n,d,s,maxEigenval,EigenvalueBound,bigM,LDBound,time(s)
10,0.5,3,508.09404426353325,1270.235110658833,20,1095.7378214520927,0.15730547904968262
15,0.5,5,724.5941523658518,2717.228071371944,30,2209.639941961005,0.1845088005065918
15,0.8,9,901.3353257175139,3380.0074714406774,30,2947.64640882435,0.18449091911315918
10,0.2,10,392.7937119620714,981.9842799051786,20,644.4251419812749,0.1345810890197754
10,0.5,2,493.8506328067032,1234.626582016758,20,845.8360798708652,0.14047503471374512
100,0.2,1,1865.5587759149842,46638.96939787461,200,43721.93409879624,13.104401350021362
20,0.8,2,1152.5042761269601,5762.5213806348,40,4989.329677973888,0.24455595016479492
20,0.8,9,1229.3295412848918,6146.647706424459,40,5258.438450179592,0.24130964279174805
10,0.5,1,458.2124703563535,1145.5311758908838,20,1052.0441427101346,0.13924908638000488
10,0.8,9,590.854320992229,1477.1358024805725,20,1273.7273207107671,0.1375727653503418
10,0.2,2,205.66309746175335,514.1577436543834,20,312.45949580690854,0.1333024501800537
20,0.2,2,509.68516632569174,2548.4258316284586,40,1903.2139245079265,0.24174952507019043
10,0.2,3,241.00888670599318,602.5222167649829,20,440.74720289042443,0.1362898349761963
20,0.5,1,884.4125528334271,4422.062764167135,40,3684.29305333671,0.23805999755859375
20,0.8,1,1185.7627444802129,5928.813722401064,40,5397.20755159478,0.2400214672088623
10,0.2,5,318.61646645089985,796.5411661272497,20,638.7569036032837,0.13646721839904785
10,0.5,4,588.4949118357131,1471.2372795892827,20,1012.8575886385061,0.1395118236541748
10,0.2,6,306.13791685069395,765.3447921267349,20,538.7348933689522,0.1349942684173584
10,0.8,5,547.6034828079875,1369.0087070199686,20,1195.2043989265433,0.14012789726257324
20,0.8,3,1127.2704040165258,5636.35202008263,40,5297.855486110597,0.24040603637695312
10,0.8,2,573.3203831441715,1433.3009578604288,20,1253.5562738871056,0.13962769508361816
20,0.5,4,981.3122830687747,4906.561415343874,40,3602.3359110452957,0.23947906494140625
15,0.5,10,729.4820464664659,2735.557674249247,30,2468.988798558277,0.18345403671264648
15,0.2,1,449.3700007433814,1685.1375027876802,30,1116.641136652923,0.18265676498413086
15,0.2,9,367.6928087353774,1378.8480327576654,30,1066.3171773670974,0.18566203117370605
15,0.8,3,848.8348065375715,3183.130524515893,30,2934.6969105085072,0.18551373481750488
15,0.8,10,970.481714875729,3639.306430783984,30,3506.0411253142674,0.18583297729492188
20,0.8,7,1177.8007316042822,5889.003658021411,40,5192.348385345278,0.24550271034240723
20,0.5,2,796.2917717321001,3981.4588586605005,40,3315.2634744270986,0.24213409423828125
15,0.8,4,896.2928768012292,3361.0982880046095,30,2797.95425086328,0.1855180263519287
20,0.2,1,421.24247420269324,2106.212371013466,40,1581.6284470088758,0.24016928672790527
10,0.8,6,686.3625111064505,1715.906277766126,20,1613.5876806971844,0.13895201683044434
20,0.8,4,1162.1905253648524,5810.952626824263,40,4977.415377577356,0.2395787239074707
20,0.2,8,570.4819911579484,2852.409955789742,40,2066.940066650396,0.25067901611328125
15,0.2,2,302.5707278507779,1134.6402294404172,30,800.6164341898088,0.1841447353363037
10,0.8,7,567.5492630750463,1418.8731576876157,20,1261.8105434899073,0.13994407653808594
20,0.2,9,606.2242045091466,3031.121022545733,40,1969.603477881815,0.24413108825683594
20,0.8,5,1146.5532922976565,5732.766461488282,40,5066.682495662549,0.25478625297546387
15,0.5,8,613.6768001959867,2301.2880007349504,30,1991.471906257137,0.1832752227783203
10,0.2,8,287.66475770742915,719.1618942685728,20,513.3301552550402,0.13844871520996094
15,0.2,4,334.9599993381653,1256.0999975181198,30,1024.092924281018,0.17894721031188965
20,0.5,5,792.7901140137953,3963.950570068977,40,3476.781075933035,0.2734088897705078
10,0.2,9,313.5063666157901,783.7659165394753,20,525.8982872548914,0.14432358741760254
20,0.8,6,1106.4251181450156,5532.125590725078,40,5352.8935682532065,0.24115681648254395
15,0.8,6,900.9785929906523,3378.669723714946,30,2939.381094617033,0.20740151405334473
10,0.5,10,474.44570736499816,1186.1142684124954,20,1038.5138762691695,0.13839316368103027
15,0.2,7,466.47375867914354,1749.2765950467883,30,1044.3463327224692,0.19035720825195312
15,0.5,7,634.8389163942941,2380.645936478603,30,2088.221061998425,0.1864314079284668
10,0.8,10,678.0883631067913,1695.2209077669784,20,1487.9235544091187,0.13651394844055176
10,0.5,5,510.1996957517298,1275.4992393793245,20,816.9194828883793,0.15531086921691895
20,0.8,8,1210.950738581496,6054.7536929074795,40,5426.792120520224,0.24021124839782715
10,0.5,6,544.3483423930259,1360.8708559825645,20,1184.2941689428487,0.1549515724182129
20,0.8,10,1228.5577846943572,6142.788923471786,40,5637.152366555153,0.24063467979431152
20,0.2,4,510.22003059745975,2551.1001529872988,40,1801.3761298254508,0.26990509033203125
20,0.2,7,549.8338209415275,2749.1691047076374,40,2025.9532681272935,0.24399018287658691
10,0.2,4,323.6591889687596,809.1479724218991,20,598.9861952822486,0.14644694328308105
15,0.2,5,374.0163547524834,1402.5613303218126,30,989.9666204591822,0.1790478229522705
10,0.5,9,475.86283384625676,1189.657084615642,20,927.125264242984,0.15881109237670898
15,0.8,7,961.605083809634,3606.0190642861276,30,3065.309656158066,0.21772527694702148
10,0.8,1,532.1919478390746,1330.4798695976865,20,1311.304049404746,0.13777780532836914
20,0.5,8,927.8432056753483,4639.216028376742,40,3739.9726288708666,0.2849006652832031
20,0.5,9,996.3966900515586,4981.983450257793,40,3685.955069119093,0.24079513549804688
15,0.5,1,695.688184202687,2608.8306907600763,30,2119.6501450189994,0.22011351585388184
10,0.8,3,642.8202004675201,1607.0505011688,20,1522.1176654399867,0.13938307762145996
15,0.5,2,653.3308346332552,2449.990629874707,30,2148.7617415772374,0.2211918830871582
10,0.2,1,161.70414929162206,404.2603732290552,20,303.07687731555234,0.14855289459228516
10,0.2,7,269.0514610553953,672.6286526384882,20,438.0033708983251,0.136488676071167
15,0.5,4,656.9352686496302,2463.5072574361134,30,1970.7757872281868,0.21668624877929688
20,0.5,7,1064.4782842113748,5322.391421056874,40,3762.274061509449,0.2384476661682129
10,0.5,8,521.5379984293025,1303.8449960732564,20,1012.5273159198097,0.1621384620666504
15,0.8,1,901.4925180773616,3380.5969427901064,30,3117.0069543434665,0.18295526504516602
20,0.5,10,975.1041570323046,4875.520785161523,40,3888.692187475343,0.2999429702758789
15,0.2,8,401.88837082201746,1507.0813905825655,30,1003.2096567276187,0.21424555778503418
50,0.8,1,2662.8660333331663,33285.82541666458,100,30473.760977398746,1.4871456623077393
15,0.5,3,639.0484825895857,2396.4318097109463,30,1955.2912457370817,0.21609973907470703
15,0.8,2,792.5925789215662,2972.2221709558735,30,2790.984874583142,0.18700242042541504
10,0.8,4,653.8674603178721,1634.6686507946802,20,1496.867438175585,0.161515474319458
10,0.8,8,645.5526478105853,1613.8816195264633,20,1536.0357456406903,0.1411278247833252
15,0.5,6,771.3517829273029,2892.569185977386,30,2258.956094166492,0.22269535064697266
10,0.5,7,503.9064751533966,1259.7661878834915,20,984.2533919105343,0.1650388240814209
15,0.8,5,822.8113079612655,3085.5424048547457,30,2795.3783386257437,0.18635010719299316
20,0.5,6,830.4164404549084,4152.082202274542,40,3770.6313968327663,0.29705142974853516
15,0.2,10,409.12832064016453,1534.231202400617,30,1062.4837118957003,0.17399907112121582
20,0.2,3,455.3817693137978,2276.9088465689892,40,1679.4732758315567,0.2439572811126709
20,0.2,6,573.8690841921026,2869.345420960513,40,1964.0611947876241,0.3072052001953125
20,0.5,3,834.0179531053453,4170.089765526726,40,3575.9320113074923,0.23797821998596191
15,0.8,8,872.078085957833,3270.2928223418735,30,2977.394620206598,0.2388150691986084
20,0.2,5,589.6030026126593,2948.0150130632965,40,1938.2804146767119,0.2297382354736328
15,0.2,3,395.76615414129446,1484.1230780298542,30,999.7462737388958,0.240203857421875
15,0.5,9,822.9314047448057,3085.9927677930214,30,1828.6150729423211,0.18580293655395508
20,0.2,10,646.8140916457578,3234.070458228789,40,1864.9216843669394,0.3152754306793213
15,0.2,6,424.37721464795214,1591.4145549298205,30,1233.3344624519402,0.18854260444641113
